,index,attendance,away_assists,away_at_bats,away_average_leverage_index,away_base_out_runs_added,away_base_out_runs_saved,away_bases_on_balls,away_batting_average,away_earned_runs,away_fly_balls,away_game_score,away_grounded_balls,away_hits,away_home_runs,away_inherited_runners,away_inherited_score,away_innings_pitched,away_line_drives,away_on_base_percentage,away_on_base_plus,away_pitches,away_plate_appearances,away_putouts,away_rbi,away_runs,away_slugging_percentage,away_strikeouts,away_strikes,away_strikes_by_contact,away_strikes_looking,away_strikes_swinging,away_unknown_bat_type,away_win_probability_added,away_win_probability_by_pitcher,away_win_probability_for_offensive_player,away_win_probability_subtracted,date,duration,home_assists,home_at_bats,home_average_leverage_index,home_base_out_runs_added,home_base_out_runs_saved,home_bases_on_balls,home_batting_average,home_earned_runs,home_fly_balls,home_game_score,home_grounded_balls,home_hits,home_home_runs,home_inherited_runners,home_inherited_score,home_innings_pitched,home_line_drives,home_on_base_percentage,home_on_base_plus,home_pitches,home_plate_appearances,home_putouts,home_rbi,home_runs,home_slugging_percentage,home_strikeouts,home_strikes,home_strikes_by_contact,home_strikes_looking,home_strikes_swinging,home_unknown_bat_type,home_win_probability_added,home_win_probability_by_pitcher,home_win_probability_for_offensive_player,home_win_probability_subtracted,losing_abbr,losing_name,time,time_of_day,venue,winner,winning_abbr,winning_name,location
0,WAS/WAS201903280,42263,5,31,1.38,-3.1,5.1,3,0.161,2.0,11,71,8,5,0,0,0,9.0,6,0.235,0.493,139,34,27,2,2,0.258,12,93,49,23,22,0,0.31,0.725,-0.227,-0.537,"Thursday, March 28, 2019",2:44,9,31,0.73,-5.1,3.1,1,0.161,0.0,12,76,5,5,1,3,1,9.0,8,0.212,0.406,135,33,27,0,0,0.194,14,89,40,24,25,0,0.411,0.226,-0.726,-1.136,WSN,Washington Nationals,1:07 p.m. Local,Day,Nationals Park,Away,NYM,New York Mets,Away
1,WAS/WAS201903300,33765,9,40,0.94,5.9,-2.9,5,0.35,11.0,15,49,15,14,1,4,0,9.0,12,0.422,0.922,181,46,27,10,11,0.5,11,116,59,28,29,0,0.99,0.072,0.428,-0.558,"Saturday, March 30, 2019",3:50,8,36,0.9,2.9,-5.9,3,0.25,4.0,12,48,14,9,0,4,3,9.0,5,0.333,0.778,188,42,27,8,8,0.444,11,117,63,33,21,0,0.654,-0.429,-0.069,-0.723,WSN,Washington Nationals,1:05 p.m. Local,Day,Nationals Park,Away,NYM,New York Mets,Away
2,WAS/WAS201903310,23430,8,39,0.87,-0.1,-1.2,2,0.333,5.0,21,45,10,13,2,3,0,8.1,11,0.366,0.75,165,41,25,4,5,0.385,8,93,51,19,23,0,0.979,-0.447,-0.052,-1.032,"Sunday, March 31, 2019",3:15,8,36,1.38,1.2,0.1,1,0.306,6.48,14,52,11,11,0,4,3,9.0,6,0.342,0.898,152,38,27,6,6,0.556,11,101,53,28,20,0,1.031,0.052,0.447,-0.584,NYM,New York Mets,1:35 p.m. Local,Day,Nationals Park,Home,WSN,Washington Nationals,Away
3,MIA/MIA201904010,6489,10,36,1.33,2.5,1.5,2,0.278,7.0,13,51,7,10,1,2,0,9.0,4,0.35,0.85,135,40,27,6,7,0.5,16,100,47,18,35,0,1.374,0.15,0.35,-1.025,"Monday, April 1, 2019",3:10,6,35,1.47,-1.5,-2.5,1,0.257,1.0,16,58,12,9,2,0,0,9.0,8,0.278,0.621,166,36,27,3,3,0.343,7,92,50,21,21,0,0.774,-0.35,-0.149,-0.922,MIA,Miami Marlins,7:10 p.m. Local,Night,Marlins Park,Away,NYM,New York Mets,Away
4,MIA/MIA201904020,5934,9,38,1.64,1.5,-0.5,5,0.237,6.0,13,44,18,9,1,3,1,9.0,6,0.341,0.604,145,44,27,6,6,0.263,7,102,64,21,17,0,0.557,0.269,0.231,-0.327,"Tuesday, April 2, 2019",3:23,12,41,0.69,0.5,-1.5,2,0.39,5.0,23,31,14,16,0,0,0,9.0,14,0.444,1.005,167,46,27,5,5,0.561,5,90,59,23,8,0,1.045,-0.23,-0.271,-1.315,MIA,Miami Marlins,7:10 p.m. Local,Night,Marlins Park,Away,NYM,New York Mets,Away
5,MIA/MIA201904030,7486,3,38,0.71,1.5,0.5,3,0.263,4.0,20,84,8,10,0,3,2,9.0,9,0.317,0.791,164,41,27,6,6,0.474,10,104,57,26,21,0,0.492,0.352,0.148,-0.343,"Wednesday, April 3, 2019",3:07,5,34,0.47,-0.5,-1.5,3,0.206,4.0,15,54,4,7,1,0,0,9.0,8,0.27,0.564,159,37,27,4,4,0.294,15,109,58,20,31,0,0.206,-0.148,-0.354,-0.556,MIA,Miami Marlins,6:10 p.m. Local,Night,Marlins Park,Away,NYM,New York Mets,Away
6,NYN/NYN201904040,44424,6,30,1.18,-0.4,4.4,4,0.167,4.0,13,76,8,5,0,3,0,9.0,3,0.278,0.578,146,37,27,4,4,0.3,11,101,51,29,21,0,0.356,0.556,-0.055,-0.411,"Thursday, April 4, 2019",3:19,7,32,0.63,-4.4,0.4,2,0.125,0.0,7,66,11,4,1,1,1,9.0,2,0.176,0.301,167,34,27,0,0,0.125,14,93,48,23,22,0,0.271,0.055,-0.556,-0.827,NYM,New York Mets,1:11 p.m. Local,Day,Citi Field,Away,WSN,Washington Nationals,Home
7,NYN/NYN201904060,35156,9,32,1.08,0.6,-2.1,6,0.219,4.0,9,56,13,7,5,2,0,8.0,3,0.342,0.78,130,39,24,4,5,0.438,11,112,63,29,20,0,1.186,-0.775,0.276,-0.908,"Saturday, April 6, 2019",3:13,11,32,1.42,2.1,-0.6,2,0.344,6.75,16,67,6,11,2,2,1,9.0,9,0.4,1.275,179,35,27,6,6,0.875,10,80,42,24,15,0,1.41,-0.277,0.776,-0.634,WSN,Washington Nationals,1:10 p.m. Local,Day,Citi Field,Home,NYM,New York Mets,Home
8,NYN/NYN201904070,40681,7,32,0.43,7.6,-4.6,12,0.25,12.0,13,48,11,8,2,4,2,9.0,6,0.457,0.832,173,46,27,11,12,0.375,9,103,59,30,14,0,0.583,0.131,0.37,-0.212,"Sunday, April 7, 2019",3:42,9,36,0.5,4.6,-7.6,2,0.306,9.0,18,23,7,11,1,3,1,9.0,10,0.405,0.96,198,42,27,9,9,0.556,11,110,52,30,28,0,0.262,-0.369,-0.131,-0.392,NYM,New York Mets,1:10 p.m. Local,Day,Citi Field,Away,WSN,Washington Nationals,Home
9,NYN/NYN201904090,22126,8,43,0.81,9.6,-3.6,2,0.395,11.0,23,43,14,17,4,4,0,9.0,11,0.422,1.352,219,46,27,12,14,0.93,7,117,74,29,18,0,0.792,0.019,0.483,-0.31,"Tuesday, April 9, 2019",4:08,10,38,0.48,3.6,-9.6,7,0.289,8.0,18,24,12,11,6,0,0,9.0,6,0.4,1.084,186,45,27,8,8,0.684,8,126,74,26,26,0,0.684,-0.48,-0.019,-0.703,NYM,New York Mets,7:35 p.m. Local,Night,Citi Field,Away,MIN,Minnesota Twins,Home
